path,label,original_split,split
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Plastic_cup\253_eng.jpg,Plastic_cup,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Foam_box\213_vn.jpg,Foam_box,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Alu\beverage_cans828.jpg,Alu,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Paper_cup\00000111.jpg,Paper_cup,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Paper\paper513.jpg,Paper,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Milk_box\tetra_pak 455.jpg,Milk_box,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Carton\cardboard 2388.jpg,Carton,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Other\trash666.jpg,Other,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Paper\paper423.jpg,Paper,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Carton\cardboard 137.jpg,Carton,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Foam_box\215_vn.jpg,Foam_box,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Alu\beverage_cans706.jpg,Alu,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Alu\beverage_cans475.jpg,Alu,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Foam_box\186_vn.jpg,Foam_box,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Foam_box\00000231.jpg,Foam_box,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Carton\cardboard429.jpg,Carton,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Paper\paper 262.jpg,Paper,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Milk_box\tetra_pak 546.jpg,Milk_box,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Milk_box\tetra_pak 24.jpg,Milk_box,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Paper_cup\paper_cups 257.jpg,Paper_cup,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Milk_box\00000316.jpg,Milk_box,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Plastic_cup\ly_nhua_image_7_2023-03-14_13-48-36.jpg,Plastic_cup,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Paper\paper569.jpg,Paper,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Other\trash629.jpg,Other,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Paper_cup\paper_cups 609.jpg,Paper_cup,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Foam_box\hop_xop_image_173_2023-03-14_13-37-49.jpg,Foam_box,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Alu\beverage_cans985.jpg,Alu,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Paper\paper475.jpg,Paper,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Alu\beverage_cans378.jpg,Alu,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Paper\paper451.jpg,Paper,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Carton\cardboard50.jpg,Carton,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\PET\PET495.jpg,PET,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Paper\paper213.jpg,Paper,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Paper\paper 1000.jpg,Paper,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Milk_box\00000097.jpg,Milk_box,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Plastic_cup\00000313.jpg,Plastic_cup,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Foam_box\134_styro.jpg,Foam_box,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Foam_box\00000357.jpg,Foam_box,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Carton\IMG20230115103348.jpg,Carton,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Milk_box\IMG20230112114031.jpg,Milk_box,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Alu\beverage_cans649.jpg,Alu,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Foam_box\197_vn.jpg,Foam_box,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Paper_cup\267_trash.jpg,Paper_cup,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Carton\cardboard470.jpg,Carton,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Paper_cup\00000067.jpg,Paper_cup,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Plastic_cup\00000038.jpg,Plastic_cup,train,train
C:\Users\Admin\Desktop\Ki 1 Nam 3\Deep Neural Network\Project DL\trash-image-classification\data\VN_trash_classification\Train\Plastic_cup\00000138.jpg,Plastic_cup,train,train
